event_id,ts,video_rel,false_trigger,notes,reviewed_at,species,movement,count
1,2025-10-14 11:04:08,25  10  14  10  40\1.mp4,0,,2026-01-28T09:15:23,Chinook,Stay,1.0
2,2025-10-14 11:11:46,25  10  14  10  40\2.mp4,0,,2026-01-23T11:05:10,Chinook,Up,1.0
3,2025-10-14 11:15:09,25  10  14  10  40\3.mp4,0,,2026-01-23T11:05:49,Chinook,Up,1.0
4,2025-10-14 11:15:46,25  10  14  10  40\4.mp4,0,,2026-01-23T11:06:06,Chinook,Up,1.0
5,2025-10-14 11:26:45,25  10  14  10  40\5.mp4,0,,2026-01-23T11:06:50,Chinook,Stay,1.0
6,2025-10-14 11:27:05,25  10  14  10  40\6.mp4,0,,2026-01-23T11:07:04,Chinook,Up,2.0
7,2025-10-14 11:51:31,,0,,2026-01-28T09:16:42,Non fish,Stay,1.0
8,2025-10-14 11:51:44,25  10  14  10  40\8.mp4,0,,2026-01-23T11:12:06,Chinook,Up,1.0
9,2025-10-14 11:52:19,25  10  14  10  40\9.mp4,0,,2026-01-23T11:13:09,Chinook,Up,1.0
10,2025-10-14 11:53:03,25  10  14  10  40\10.mp4,0,,2026-01-28T08:50:21,Chinook,Up,1.0
11,2025-10-14 11:54:25,25  10  14  10  40\11.mp4,0,,2026-01-28T08:50:57,Chinook,Up,1.0
12,2025-10-14 12:04:46,25  10  14  10  40\12.mp4,0,,2026-01-28T08:51:26,Chinook,Up,1.0
13,2025-10-14 12:07:55,25  10  14  10  40\13.mp4,0,,2026-01-28T08:51:42,Chinook,Up,1.0
14,2025-10-14 12:13:25,25  10  14  10  40\14.mp4,0,,2026-01-28T08:55:19,Chinook,Up,1.0
15,2025-10-14 12:21:04,25  10  14  10  40\15.mp4,0,,2026-01-28T08:56:04,Chinook,Up,1.0
16,2025-10-14 12:23:07,,0,,2026-01-28T09:16:22,Non fish,Stay,1.0
