event_id,ts,video_rel,false_trigger,notes,reviewed_at,species,movement,count
54,2025-10-27 12:42:21,25  10  24  10  33\54.mp4,0,L,2026-02-02T08:48:36,Chinook,Up,1.0
55,2025-10-27 13:51:41,25  10  24  10  33\55.mp4,0,,2026-02-02T08:49:04,Non fish,Down,1.0
56,2025-10-27 14:56:39,25  10  24  10  33\56.mp4,0,,2026-02-02T08:49:19,Non fish,Down,1.0
57,2025-10-27 15:29:15,25  10  24  10  33\57.mp4,0,,2026-02-02T08:50:03,Non fish,Down,1.0
58,2025-10-27 15:42:41,25  10  24  10  33\58.mp4,0,,2026-02-02T08:50:44,Non fish,Down,1.0
59,2025-10-27 15:59:38,25  10  24  10  33\59.mp4,0,,2026-02-02T08:51:08,Non fish,Down,1.0
60,2025-10-27 16:00:50,25  10  24  10  33\60.mp4,0,,2026-02-02T08:52:00,Non fish,Down,1.0
61,2025-10-27 16:11:09,25  10  24  10  33\61.mp4,0,,2026-02-02T08:52:17,Non fish,Down,1.0
62,2025-10-27 16:12:57,25  10  24  10  33\62.mp4,0,,2026-02-02T08:52:32,Non fish,Down,1.0
63,2025-10-27 16:20:10,25  10  24  10  33\63.mp4,0,,2026-02-02T08:52:46,Non fish,Down,1.0
64,2025-10-27 16:30:16,25  10  24  10  33\64.mp4,0,,2026-02-02T08:53:02,Non fish,Down,1.0
65,2025-10-27 16:31:00,25  10  24  10  33\65.mp4,0,,2026-02-02T08:53:17,Non fish,Down,1.0
66,2025-10-27 16:54:29,25  10  24  10  33\66.mp4,0,,2026-02-02T08:53:33,Non fish,Down,1.0
67,2025-10-27 17:18:56,25  10  24  10  33\67.mp4,0,,2026-02-02T08:53:49,Non fish,Down,1.0
68,2025-10-27 17:19:25,25  10  24  10  33\68.mp4,0,,2026-02-02T08:54:07,Non fish,Down,1.0
69,2025-10-27 17:26:24,25  10  24  10  33\69.mp4,0,,2026-02-02T08:54:21,Non fish,Down,1.0
70,2025-10-27 17:27:59,25  10  24  10  33\70.mp4,0,,2026-02-02T08:54:34,,,
71,2025-10-27 18:38:13,25  10  24  10  33\71.mp4,0,,2026-02-02T08:54:58,Non fish,Down,1.0
72,2025-10-27 19:13:44,25  10  24  10  33\72.mp4,0,,2026-02-02T08:55:14,Non fish,Down,1.0
73,2025-10-27 19:53:30,25  10  24  10  33\73.mp4,0,,2026-02-02T08:55:30,Non fish,Down,1.0
74,2025-10-27 19:54:15,25  10  24  10  33\74.mp4,0,,2026-02-02T08:55:47,Non fish,Down,1.0
75,2025-10-28 00:03:41,25  10  24  10  33\75.mp4,0,,2026-02-02T08:56:07,Chinook,Up,1.0
